date,spot,futures,spread,r_s,r_f,h_theoretical,h_actual,h_final,sigma_s,sigma_f,cov_sf,rolling_corr
2021-01-06,4425,4450.0,-25.0,0.0056657375356773,0.006538181334042765,0.9450420652855259,0.8363204117571027,0.8363204117571027,0.026186701824458824,0.022935262977791342,0.0004971169694741146,0.8277021076458727
2021-01-07,4435,4438.0,-3.0,0.0022573373016498643,-0.002700271667746648,0.9352566458551385,0.8276607485443704,0.8276607485443704,0.024883768108233086,0.022022134138938627,0.00045357552321879837,0.8277021076458727
2021-01-08,4415,4416.0,-1.0,-0.004519781705619518,-0.004969515535607943,0.926698977802608,0.8200875909757593,0.8200875909757593,0.0235977256894795,0.021076841300877898,0.0004116704886933324,0.8277021076458727
2021-01-11,4425,4429.0,-4.0,0.0022624444039695433,0.00293951596626701,0.9177060919470291,0.8121292849088754,0.8121292849088754,0.022408579451903755,0.020210859015155496,0.0003748635035004996,0.8277021076458727
2021-01-12,4550,4541.0,9.0,0.02785695450296628,0.02497342717475287,0.908854082458499,0.804295648193362,0.804295648193362,0.02126315750944407,0.019364560962487256,0.00034080775806682133,0.8277021076458727
2021-01-13,4625,4542.0,83.0,0.01634913800152941,0.00022019156755261272,0.9140310847351888,0.8088770661373353,0.8088770661373353,0.02198624687642486,0.0199096761398565,0.00036231753829043595,0.8277021076458727
2021-01-14,4515,4402.0,113.0,-0.024071184095439752,-0.03130846057909681,0.9331057293386601,0.8257572826005842,0.8257572826005842,0.021483138956049423,0.019056403613954897,0.000338854097186449,0.8277021076458727
2021-01-15,4550,4434.0,116.0,0.0077220460939103185,0.007243128089849838,0.8833517898490026,0.7817272476539847,0.7817272476539847,0.02167270989645706,0.020307365497908177,0.0003642846438270732,0.8277021076458727
2021-01-18,4595,4448.0,147.0,0.009841522844791289,0.003152445754161519,0.8764013622306936,0.7755764267528263,0.7755764267528263,0.02070490985043111,0.019554393980173376,0.00033511337837590575,0.8277021076458727
2021-01-19,4635,4429.0,206.0,0.008667443210168125,-0.004280732007220056,0.8784238618190384,0.7773662493973792,0.7773662493973792,0.019892772293577637,0.01874412828474097,0.00030862749965146014,0.8277021076458727
2021-01-20,4655,4480.0,175.0,0.004305711711212013,0.01144922148583258,0.8781411426696324,0.7771160554598517,0.7771160554598517,0.019080159545665124,0.01798422543118213,0.00028401926601506083,0.8277021076458727
2021-01-21,4410,4442.0,-32.0,-0.05406722127027582,-0.00851832095465812,0.8565937536208695,0.7580475695759908,0.7580475695759908,0.018165564618725732,0.017552866872937074,0.00026391922130522837,0.8277021076458727
2021-01-22,4525,4293.0,232.0,0.025742887693134882,-0.03411893622981217,1.1705748455323688,1.035906942948999,0.896863116765973,0.024015313570326702,0.0169809950502531,0.00033754016480868915,0.8277021076458727
2021-01-25,4455,4369.0,86.0,-0.015590516229116861,0.01754836072687534,1.0549615297008834,0.9335942740715784,0.896863116765973,0.024162196442684657,0.018957185032741533,0.00037912665664718045,0.8277021076458727
2021-01-26,4455,4310.0,145.0,0.0,-0.013596245853642358,1.0264884753910695,0.9083968808770527,0.896863116765973,0.023390578867294648,0.01886083662083093,0.00036515393406319474,0.8277021076458727
2021-01-27,4545,4433.0,112.0,0.020000666706669435,0.028138651647260093,0.9943127173110562,0.8799227586823507,0.8799227586823507,0.022175023046025415,0.01845929655000999,0.00033880771240337636,0.8277021076458727
2021-01-28,4620,4487.0,133.0,0.01636697746420541,0.012107771230929893,0.933111071336657,0.82576201003244,0.82576201003244,0.021955175917033304,0.0194750077868361,0.0003539065677857236,0.8277021076458727
2021-01-29,4830,4659.0,171.0,0.044451762570833796,0.03761650584081345,0.9356697776640367,0.8280263519150768,0.8280263519150768,0.021456028749273867,0.01898020075183092,0.0003370731853198136,0.8277021076458727
2021-02-01,4825,4648.0,177.0,-0.0010357328735320908,-0.002363813285049571,0.9629528457039463,0.8521706599149969,0.8521706599149969,0.024652032342535143,0.02118955171969428,0.0004323630371623009,0.8277021076458727
