周期,起始日期,结束日期,天数,起始月份,未套保收益率,套保收益率,收益率改善,方差降低,最大回撤（套保后）,夏普比率（套保后）
周期1,2021-08-31,2022-01-14,90,8,0.79%,0.94%,0.14%,69.08%,-10.36%,0.0144
周期2,2022-11-25,2023-04-11,90,11,5.03%,1.85%,-3.18%,70.07%,-3.04%,0.0374
周期3,2023-06-07,2023-10-23,90,6,-0.51%,-0.28%,0.23%,75.44%,-2.56%,-0.0051
周期4,2023-12-15,2024-05-07,90,12,6.83%,2.41%,-4.42%,67.22%,-4.28%,0.0514
周期5,2024-06-17,2024-10-30,90,6,2.34%,1.41%,-0.94%,66.49%,-3.73%,0.0317
周期6,2025-03-12,2025-07-23,90,3,-0.28%,-0.34%,-0.06%,87.33%,-3.39%,-0.0058
