date,rho_t
2014-03-24,0.0
2014-03-25,0.7146348601246442
2014-03-26,0.6993662788961184
2014-03-27,0.7004405738172179
2014-03-28,0.7021773926836642
2014-03-31,0.7023441363735612
2014-04-01,0.7057635325271502
2014-04-02,0.7053348061596585
2014-04-03,0.7040718583899526
2014-04-04,0.6983897474450328
2014-04-08,0.7054549367623854
2014-04-09,0.7058185664391672
2014-04-10,0.6723148181472346
2014-04-11,0.6791197172723376
2014-04-14,0.6865020017135501
2014-04-15,0.6919114350391867
2014-04-16,0.6958476980303578
2014-04-17,0.6949217026506055
2014-04-18,0.6988643454612725
2014-04-21,0.6843035695926752
2014-04-22,0.6906110683984891
2014-04-23,0.6912104477283492
2014-04-24,0.6927196792710458
2014-04-25,0.6975478099857615
2014-04-28,0.7015005586992358
2014-04-29,0.6956692541532559
2014-04-30,0.6968329643719219
2014-05-05,0.6992468619574251
2014-05-06,0.7026174922022217
2014-05-07,0.6980369829368192
2014-05-08,0.7006490874057384
2014-05-09,0.7042749099027188
2014-05-12,0.704005948772931
2014-05-13,0.7042825816327141
2014-05-14,0.6982974804295541
2014-05-15,0.701047509455189
2014-05-16,0.7003357430870519
2014-05-19,0.7033535068933635
2014-05-20,0.7052635628076575
2014-05-21,0.7071393971070079
2014-05-22,0.7076897050414102
2014-05-23,0.707851615122763
2014-05-26,0.7078345328699978
2014-05-27,0.704455992974385
2014-05-28,0.7073028910204157
2014-05-29,0.7044342061938408
2014-05-30,0.7041905227239642
2014-06-03,0.6952664445260381
2014-06-04,0.6989530746105297
2014-06-05,0.6998961113043642
2014-06-06,0.7032512933591529
2014-06-09,0.7046543146765228
2014-06-10,0.7043341276750879
2014-06-11,0.7066072713641222
2014-06-12,0.7078609212920421
2014-06-13,0.7080025402972733
2014-06-16,0.7093272602236772
2014-06-17,0.7070809939447786
2014-06-18,0.7035424453338003
2014-06-19,0.7009925714517315
2014-06-20,0.7037225884302131
2014-06-23,0.7045353386740735
2014-06-24,0.703775482711647
2014-06-25,0.7043062604605408
2014-06-26,0.7061219025633616
2014-06-27,0.7006599652538718
2014-06-30,0.7019020973790199
2014-07-01,0.7024374877319255
2014-07-02,0.7044374978444607
2014-07-03,0.7051378851902479
2014-07-04,0.7065332776129799
2014-07-07,0.7080861353914407
2014-07-08,0.7084237544658525
2014-07-09,0.7014988393868692
2014-07-10,0.7027730324468615
2014-07-11,0.7092942110498294
2014-07-14,0.7090206990558556
2014-07-15,0.7068604636769439
2014-07-16,0.7083391344672969
2014-07-17,0.7079559485650534
2014-07-18,0.7076170576331533
2014-07-21,0.6907194773693526
2014-07-22,0.6922019058861508
2014-07-23,0.6965531709218904
2014-07-24,0.7004043644147064
2014-07-25,0.7025887178782624
2014-07-28,0.7047507761925826
2014-07-29,0.7064857272551747
2014-07-30,0.7053689914027262
2014-07-31,0.699002010996141
2014-08-01,0.7015044890533568
2014-08-04,0.7045015088256962
2014-08-05,0.7060604406564014
2014-08-06,0.7048046821522362
2014-08-07,0.7026706669241035
2014-08-08,0.7048078865993695
2014-08-11,0.7041081214495448
2014-08-12,0.7062729860318896
2014-08-13,0.7036233243859183
2014-08-14,0.7044752226415186
2014-08-15,0.6990594086292252
2014-08-18,0.6934832223001547
2014-08-19,0.6986516267888203
2014-08-20,0.6911802485296531
2014-08-21,0.696461114146503
2014-08-22,0.6975272541348858
2014-08-25,0.6986890466117132
2014-08-26,0.703797463691736
2014-08-27,0.7065141417177551
2014-08-28,0.7067871415769814
2014-08-29,0.7065280160220385
2014-09-01,0.7049517282510324
2014-09-02,0.7065886467901795
2014-09-03,0.7025534689126899
2014-09-04,0.7083456012563684
2014-09-05,0.714940760025099
2014-09-09,0.7129387928491777
2014-09-10,0.7141002288520759
2014-09-11,0.7040684808228922
2014-09-12,0.7070080853294257
2014-09-15,0.7017193713379861
2014-09-16,0.706933270102346
