model,window,variance_reduction,sharpe_ratio,max_drawdown,var_hedged,h_mean,h_std,h_min,h_max,beta0_mean,beta0_std,beta1_mean,beta1_std,coint_r2_mean
Basic GARCH,60,0.8066415517137095,-0.0075961568021760024,-0.22705072814426663,2.3206311381871782e-05,0.631342122867385,0.14495785177541787,0.19978608989683247,1.079376647361592,,,,,
ECM-DCC-GARCH,60,0.0427207162222762,-0.037206431342364656,-0.5765405886907153,0.00011488983975434674,0.03322725900337239,0.1476028498594903,0.0,0.6889118366699207,874.2922010103873,862.0916556759145,0.8005577706537418,0.1886972728840141,0.9119026775187307
Basic GARCH,90,0.80456913370895,-0.008197527219559141,-0.22962341400279238,2.3455036886022684e-05,0.6303525283087075,0.14350239456747585,0.22833726359269227,1.0751421095212534,,,,,
ECM-DCC-GARCH,90,0.14379322368084124,-0.03653139470309128,-0.5200985550982345,0.00010275941514131306,0.04608380469440793,0.16497925500731106,0.0,0.6368434752075454,744.2316502076527,779.5974587654482,0.8335517036039568,0.17267014173758521,0.9229079824190496
Basic GARCH,120,0.8035160026807555,-0.00995603525072158,-0.2385926947576729,2.3581430569788743e-05,0.6290738067572926,0.14217459719149028,0.23615520475933688,1.0694987479668083,,,,,
ECM-DCC-GARCH,120,0.18649124969722736,-0.040253324473997716,-0.5279203132577956,9.763492383560903e-05,0.06301165708682709,0.18933993351327094,0.000494339192968772,0.6424856483829792,651.5575104280073,709.8746473894546,0.8565819426163453,0.15940005998114656,0.9296940858669474
