周期,起始日期,结束日期,天数,起始月份,未套保收益率,套保收益率,收益率改善,方差降低,最大回撤（套保后）,夏普比率（套保后）
周期1,2021-08-31,2022-01-14,90,8,-13.02%,-8.49%,4.52%,23.11%,-12.83%,-0.1587
周期2,2022-11-25,2023-04-11,90,11,12.48%,10.79%,-1.68%,35.14%,-1.58%,0.2407
周期3,2023-06-07,2023-10-23,90,6,-5.43%,-4.23%,1.20%,50.93%,-5.69%,-0.1520
周期4,2023-12-15,2024-05-07,90,12,-4.02%,-1.75%,2.27%,44.29%,-4.22%,-0.0729
周期5,2024-06-17,2024-10-30,90,6,-6.38%,-3.52%,2.85%,58.39%,-9.41%,-0.0496
周期6,2025-03-12,2025-07-23,90,3,1.68%,0.75%,-0.93%,52.66%,-5.65%,0.0305
