period,start_date,end_date,return_unhedged,return_hedged,variance_reduction,sharpe_unhedged,sharpe_hedged,avg_hedge_ratio
1,2021-08-31,2022-01-13,-0.13937282229965064,-0.05503616887135676,0.7054427101219861,-0.13888862496447377,-0.0974480201179487,0.36047601767560133
2,2022-11-25,2023-04-10,0.08831168831168767,0.06934705168973587,0.8725677906855246,0.11347069061329668,0.24378129125616985,0.5854176511946129
3,2023-06-07,2023-10-20,-0.031088082901554515,-0.02450596123250215,0.8703938771698134,-0.03975032667919723,-0.09405318989647261,0.5641188063097972
4,2023-12-15,2024-05-06,-0.03473945409429324,0.0008208760458612296,0.8809264347617412,-0.056663729225637935,0.005162017643419601,0.5804846958918107
5,2024-06-17,2024-10-29,-0.0736842105263158,-0.008441658783133077,0.8916942372245477,-0.04897933809413356,-0.01651334597391524,0.6773400871806224
6,2025-03-12,2025-07-22,0.03582089552238754,0.0020646902849035254,0.8805467204911457,0.05480594714638915,0.009968626855395245,0.6006773592758592
