date,spot,futures,spread,r_s,r_f,h_theoretical,h_actual,h_final,sigma_s,sigma_f,cov_sf,rolling_corr
2021-01-06,4690,4518,172,0.0,0.005326244282674163,0.26007094497945055,0.2301512787428766,0.2301512787428766,0.007553035802345986,0.016764470886896705,7.309228477856322e-05,0.5772449515308142
2021-01-07,4670,4657,13,-0.00427351077738205,0.030302045954428532,0.22139538971855102,0.19592512364473544,0.19592512364473544,0.006215699471806403,0.01620621434300966,5.814759141891273e-05,0.5772449515308142
2021-01-08,4690,4646,44,0.004273510777382085,-0.0023648296520227263,0.19087287020051644,0.1689140444252358,0.1689140444252358,0.005826416772938419,0.017620469918852095,5.926239200857502e-05,0.5772449515308142
2021-01-11,4660,4458,202,-0.00641713432063354,-0.04130639938454033,0.19762227338183008,0.17488696759453992,0.17488696759453992,0.005808197247148432,0.016965458807032763,5.688098508059662e-05,0.5772449515308142
2021-01-12,4620,4462,158,-0.008620743043906975,0.0008968610466636717,0.18376767179470907,0.16262625822540627,0.16262625822540627,0.006264262741059681,0.01967709557956859,7.115265392817222e-05,0.5772449515308142
2021-01-13,4580,4438,142,-0.008695706967553932,-0.005393271499938564,0.2245935940041395,0.19875539292401728,0.19875539292401728,0.007365259022443275,0.018930008250118653,8.04820391357643e-05,0.5772449515308142
2021-01-14,4560,4429,131,-0.004376374599798888,-0.00202999956934099,0.25122989384403727,0.22232733968498875,0.22232733968498875,0.007948214403863228,0.0182624231858443,8.378921455375434e-05,0.5772449515308142
2021-01-15,4560,4489,71,0.0,0.013456134858733971,0.22772105162706635,0.20152305453722688,0.20152305453722688,0.006934323986128458,0.017577661286348637,7.035992435209599e-05,0.5772449515308142
2021-01-18,4580,4503,77,0.0043763745997987815,0.0031138815196394593,0.193239837480064,0.17100870573456992,0.17100870573456992,0.0057950839993013955,0.01731104220494309,5.790860378974417e-05,0.5772449515308142
2021-01-19,4550,4384,166,-0.006571765163234502,-0.026782291673720236,0.20142349201792653,0.1782508778919704,0.1782508778919704,0.005821992242464783,0.01668482457604925,5.607295073343947e-05,0.5772449515308142
2021-01-20,4540,4413,127,-0.0022002209096024235,0.006593180641695763,0.2080732346585238,0.18413560589249894,0.18413560589249894,0.0063282590482884316,0.017556105154988743,6.41316724224741e-05,0.5772449515308142
2021-01-21,4530,4430,100,-0.002205072558313981,0.0038448537696341213,0.18683484006471318,0.16534056642894973,0.16534056642894973,0.005500683918503994,0.016994913908045056,5.396296479979115e-05,0.5772449515308142
2021-01-22,4530,4362,168,0.0,-0.015468916277606971,0.17515497766141142,0.1550044050100986,0.1550044050100986,0.004974620886840448,0.016394480083000408,4.7077975745903736e-05,0.5772449515308142
2021-01-25,4500,4426,74,-0.006644542718668613,0.014565573849420688,0.16010053919662778,0.14168189309436088,0.14168189309436088,0.004519896391806808,0.016296555818643855,4.2519138019800264e-05,0.5772449515308142
2021-01-26,4500,4428,72,0.0,0.0004517732175325538,0.20426903199830593,0.18076905486575748,0.18076905486575748,0.0057271458538523,0.016184372141364492,5.350498452944997e-05,0.5772449515308142
2021-01-27,4540,4521,19,0.0088496152769826,0.020785193466077576,0.18511186017998615,0.1638158054690143,0.1638158054690143,0.0049968402585926965,0.015581934134712006,4.494454348438352e-05,0.5772449515308142
2021-01-28,4540,4423,117,0.0,-0.021915009426278387,0.26137907319447745,0.231308914331396,0.231308914331396,0.007258231240074439,0.01602950568754536,6.716005970710914e-05,0.5772449515308142
2021-01-29,4530,4390,140,-0.002205072558313981,-0.00748897179910967,0.21063932890753964,0.18640648575888466,0.18640648575888466,0.006014478820672638,0.016482332873583395,5.722381711685452e-05,0.5772449515308142
2021-02-01,4530,4342,188,0.0,-0.010994155630979914,0.19139089308937682,0.16937247176051048,0.16937247176051048,0.005299190029488767,0.015982634504434545,4.88897712202349e-05,0.5772449515308142
2021-02-02,4510,4307,203,-0.004424785980355695,-0.00809346538412659,0.17419282193465363,0.1541529397651802,0.1541529397651802,0.004723225264825968,0.015651953443215825,4.267439272710937e-05,0.5772449515308142
2021-02-03,4510,4335,175,0.0,0.006480004160531669,0.19045560452601204,0.16854478276638235,0.16854478276638235,0.005019970781357694,0.015214846512826858,4.4088863937609375e-05,0.5772449515308142
