周期,起始日期,结束日期,天数,起始月份,未套保收益率,套保收益率,收益率改善,方差降低,最大回撤（套保后）,夏普比率（套保后）
周期1,2021-08-31,2022-01-14,90,8,0.79%,0.93%,0.14%,69.17%,-10.38%,0.0144
周期2,2022-11-25,2023-04-11,90,11,5.03%,1.85%,-3.18%,70.02%,-3.05%,0.0374
周期3,2023-06-07,2023-10-23,90,6,-0.51%,-0.24%,0.27%,75.48%,-2.56%,-0.0042
周期4,2023-12-15,2024-05-07,90,12,6.83%,2.48%,-4.35%,67.28%,-4.24%,0.0528
周期5,2024-06-17,2024-10-30,90,6,2.34%,1.38%,-0.97%,66.41%,-3.78%,0.0311
周期6,2025-03-12,2025-07-23,90,3,-0.28%,-0.43%,-0.15%,87.16%,-3.38%,-0.0078
