周期,起始日期,结束日期,天数,起始月份,未套保收益率,套保收益率,收益率改善,方差降低,最大回撤（套保后）,夏普比率（套保后）
周期1,2021-08-31,2022-01-13,90,8,-13.94%,2.32%,16.26%,4.99%,-6.44%,0.0283
周期2,2022-11-25,2023-04-10,90,11,8.83%,5.13%,-3.70%,85.91%,-1.46%,0.1733
周期3,2023-06-07,2023-10-20,90,6,-3.11%,-2.30%,0.81%,84.85%,-3.72%,-0.0812
周期4,2023-12-15,2024-05-06,90,12,-3.47%,-0.84%,2.63%,87.20%,-2.61%,-0.0390
周期5,2024-06-17,2024-10-29,90,6,-7.37%,-4.90%,2.47%,91.87%,-8.66%,-0.1275
周期6,2025-03-12,2025-07-22,90,3,3.58%,1.03%,-2.56%,86.98%,-1.65%,0.0424
