周期,起始日期,结束日期,天数,起始月份,未套保收益率,套保收益率,收益率改善,方差降低,最大回撤（套保后）,夏普比率（套保后）
周期1,2021-08-31,2022-01-14,90,8,-13.72%,-4.73%,8.99%,67.35%,-8.85%,-0.0781
周期2,2022-11-25,2023-04-11,90,11,8.14%,6.68%,-1.46%,86.19%,-1.41%,0.2265
周期3,2023-06-07,2023-10-23,90,6,-2.64%,-1.74%,0.90%,87.87%,-2.54%,-0.0691
周期4,2023-12-15,2024-05-07,90,12,-3.67%,0.54%,4.21%,87.00%,-1.54%,0.0266
周期5,2024-06-17,2024-10-30,90,6,-7.25%,-0.06%,7.20%,89.29%,-5.20%,0.0011
周期6,2025-03-12,2025-07-23,90,3,2.71%,0.65%,-2.06%,87.75%,-1.47%,0.0281
