period,start_date,end_date,return_unhedged,return_hedged,variance_reduction,sharpe_unhedged,sharpe_hedged,avg_hedge_ratio
1,2021-08-31,2022-01-13,-0.13937282229965064,-0.12382985243819855,0.2168533166262041,-0.13888862496447377,-0.1388886249644738,0.0
2,2022-11-25,2023-04-10,0.08831168831168767,0.07602430282054184,0.359600042013441,0.11347069061329668,0.12154667195069646,0.06392750149154387
3,2023-06-07,2023-10-20,-0.031088082901554515,-0.02434465638986627,0.25868946638271695,-0.03975032667919723,-0.03621288089227329,0.02879381833725328
4,2023-12-15,2024-05-06,-0.03473945409429324,-0.026647969002139282,0.3036845957325177,-0.056663729225637935,-0.052141934612985705,0.02606836475889507
5,2024-06-17,2024-10-29,-0.0736842105263158,-0.062041041285592624,0.4600696585172981,-0.04897933809413356,-0.05871552104009143,0.09863209283004551
6,2025-03-12,2025-07-22,0.03582089552238754,0.029975961010047847,0.3177529827655894,0.05480594714638915,0.05495917640174077,0.0451646201399917
