date,h_theoretical,h_actual,h_ecm_base,rho_t,ect,beta0,beta1,r_squared_coint,sigma_ecm,sigma_f
2025-01-01,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-02,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-03,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-06,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-07,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-08,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-09,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-10,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-13,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-14,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-15,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-16,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-17,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-20,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-21,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-22,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-23,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-24,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-27,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-28,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-29,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-30,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-01-31,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-03,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-04,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-05,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-06,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-07,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-10,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-11,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-12,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-13,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-14,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-17,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-18,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-19,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-20,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-21,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-24,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-25,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-26,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-27,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-02-28,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-03,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-04,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-05,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-06,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-07,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-10,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-11,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-12,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-13,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-14,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-17,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-18,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-19,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-20,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-21,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-24,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-25,,0.7902737277175005,0.7902737277175005,,,,,,,
2025-03-26,,0.0,0.7902737277175005,,,,,,,
2025-03-27,,0.0,0.7902737277175005,,-81.41767505992902,-3887.993550442392,1.0555127711007284,0.9370929051314519,,
2025-03-28,-0.029690688542886493,0.0,0.7902737277175005,-0.07830713408186767,101.42513563168177,-3779.67041941754,1.0538099238082408,0.9436848773957988,104.98924360104692,276.9018564168931
2025-03-31,-0.028797257711672967,0.0,0.7902737277175005,-0.07840294427819897,166.23478156188503,-3636.4511668134073,1.0515985822240421,0.9494609032954442,98.586588376355,268.4102379622055
2025-04-01,-0.025012904982006354,0.0,0.7902737277175005,-0.07821447732433749,168.80807835068845,-2863.747955081868,1.040132331625201,0.9529588949864841,81.54567474217944,254.9904672251465
2025-04-02,-0.022464898094551863,0.0,0.7902737277175005,-0.07797976323468922,217.13017548268544,-1699.0289182028791,1.0228873585930063,0.9537673492945744,68.87830378982184,239.0891691976958
2025-04-03,-0.02409499508083743,0.0,0.7902737277175005,-0.07848242811773057,125.52353270469757,-514.3736437433981,1.005321370856115,0.9567920801140346,68.87499640865923,224.3402389839243
2025-04-04,-0.023007974243241646,0.0,0.7902737277175005,-0.07813050542683973,188.5866082442517,788.3712606836634,0.9860004616844689,0.9606761915100066,62.02182874910736,210.61379747884843
2025-04-07,-0.02536716374738916,0.0,0.7902737277175005,-0.07827804343746063,204.72870970200165,2053.2655024190026,0.9672151672829257,0.9654931898570787,63.878382748814666,197.1160382500818
2025-04-08,-0.02321977812104236,0.0,0.7902737277175005,-0.07825972293051585,185.75489025482966,3640.5935506687383,0.9436647026417164,0.9685066547672296,54.71401614745218,184.40760810866692
2025-04-09,-0.02049517153926136,0.0,0.7902737277175005,-0.07868879638196294,111.86773477459792,5241.0396393575065,0.9199176056375435,0.9712921656073787,45.11775125646367,173.22429017151194
2025-04-10,-0.019469951462925277,0.0,0.7902737277175005,-0.07730106954000994,184.0635946095863,6531.436491877801,0.9007910824839191,0.9681347211234587,41.35265432171176,164.18142661904497
2025-04-11,-0.027987825096760063,0.0,0.7902737277175005,-0.07846278637295723,128.43820188335667,7586.989114034775,0.8851260289968441,0.9658541368764151,55.2349689141417,154.8491013947681
2025-04-14,-0.02587759997036068,0.0,0.7902737277175005,-0.07758734411737411,144.02176684464212,8574.268273073976,0.8704970972431152,0.9593350302284885,48.500549664151926,145.41645442330025
2025-04-15,-0.0240496587245771,0.0,0.7902737277175005,-0.0778090267598927,147.99624385946663,9400.006950897281,0.858252741192284,0.9518754459555356,43.72280758112927,141.45851897769703
2025-04-16,-0.01825880153506243,0.0,0.7902737277175005,-0.07819669688929126,137.0559659878054,9733.362373815675,0.853329563616694,0.9431317203710529,36.11799585629702,154.68200192657818
2025-04-17,-0.015894957986320922,0.0,0.7902737277175005,-0.07830314373443378,126.4086827266583,10330.972383161454,0.8444835154941157,0.9347577552518405,29.83137545795724,146.9579524708738
2025-04-18,-0.014021031414360906,0.0,0.7902737277175005,-0.07863383040920557,144.20957684353925,10523.545345993014,0.8416571230628493,0.925654211038466,24.52081111519293,137.51950521652347
2025-04-21,-0.013916774689223622,0.0,0.7902737277175005,-0.07828943579335584,140.11742049930035,10797.702189460688,0.8376115427146229,0.917193759839657,23.050006662821687,129.6688390064088
2025-04-22,-0.012154527373161389,0.0,0.7902737277175005,-0.07677290213861161,119.01836297985574,11330.077211887809,0.8297283542496092,0.9054960523332586,19.206598351645436,121.31662963073859
2025-04-23,-0.011115207497391874,0.0,0.7902737277175005,-0.07829016218265726,105.69853847609193,11881.921066851472,0.8215508238071063,0.8942708476240554,17.99610397273844,126.75587918734313
2025-04-24,-0.009833959836853173,0.0,0.7902737277175005,-0.07862748323841477,80.51045471001999,12464.677685861447,0.8129124216990293,0.8870667827819039,14.844213949994796,118.68699922554758
2025-04-25,-0.009711628348106896,0.0,0.7902737277175005,-0.08105774866739325,41.253054617365706,12397.34348361136,0.8139511199030709,0.8753817875946779,13.44665390893306,112.232002080288
2025-04-28,-0.010917841165514554,0.0,0.7902737277175005,-0.08007455270639537,79.794479930526,12897.969200351858,0.8065195459100147,0.8617466594028125,16.26428568574481,119.28689762301235
2025-04-29,-0.01592467488936787,0.0,0.7902737277175005,-0.0784299528375803,-22.53945365906111,12873.430876882456,0.8068954145657701,0.8441898673934365,23.459341932040516,115.53862757719651
2025-04-30,-0.035140409341656076,0.0,0.7902737277175005,-0.07975243148224917,43.74658243248996,13400.121192215563,0.7990697685031276,0.8296819399632387,47.68325620313208,108.21887662767918
