周期,起始日期,结束日期,天数,起始月份,未套保收益率,套保收益率,收益率改善,方差降低,最大回撤（套保后）,夏普比率（套保后）
周期1,2021-08-31,2021-12-02,60,8,-7.76%,-3.64%,4.12%,24.93%,-9.68%,-0.0842
周期2,2022-11-25,2023-02-27,60,11,12.45%,9.15%,-3.30%,34.14%,-1.51%,0.2899
周期3,2023-06-07,2023-09-01,60,6,-0.05%,-1.59%,-1.54%,47.48%,-3.50%,-0.0854
周期4,2023-12-15,2024-03-19,60,12,-4.24%,-1.69%,2.55%,52.09%,-3.07%,-0.1090
周期5,2025-03-12,2025-06-11,60,3,-0.90%,1.74%,2.65%,52.30%,-2.28%,0.1341
