周期,起始日期,结束日期,天数,起始月份,未套保收益率,套保收益率,收益率改善,方差降低,最大回撤（套保后）,夏普比率（套保后）
周期1,2021-03-08,2021-06-11,60,3,12.96%,6.64%,-6.32%,85.60%,-1.99%,0.1745
周期2,2021-11-02,2022-01-26,60,11,-1.53%,-2.61%,-1.08%,59.65%,-4.62%,-0.0622
周期3,2022-11-29,2023-03-01,60,11,10.00%,3.21%,-6.80%,86.36%,-1.43%,0.1761
周期4,2023-12-19,2024-03-21,60,12,-3.86%,0.03%,3.89%,90.18%,-1.28%,0.0034
周期5,2025-03-14,2025-06-13,60,3,-6.91%,1.24%,8.16%,88.87%,-1.11%,0.0817
