周期,起始日期,结束日期,天数,起始月份,未套保收益率,套保收益率,收益率改善,方差降低,最大回撤（套保后）,夏普比率（套保后）
周期1,2021-08-31,2022-01-13,90,8,-13.94%,2.06%,16.00%,6.30%,-6.77%,0.0259
周期2,2022-11-25,2023-04-10,90,11,8.83%,5.38%,-3.45%,85.50%,-1.50%,0.1792
周期3,2023-06-07,2023-10-20,90,6,-3.11%,-2.28%,0.83%,82.84%,-3.97%,-0.0754
周期4,2023-12-15,2024-05-06,90,12,-3.47%,-0.98%,2.49%,85.67%,-3.08%,-0.0430
周期5,2024-06-17,2024-10-29,90,6,-7.37%,-4.38%,2.99%,88.48%,-9.82%,-0.0946
周期6,2025-03-12,2025-07-22,90,3,3.58%,1.31%,-2.28%,83.88%,-2.02%,0.0483
