date,h_theoretical,h_actual,h_ecm_base,rho_t,ect,beta0,beta1,r_squared_coint,sigma_ecm,sigma_f,vol_ratio,correlation_adjustment
2020-10-30,0.0005799944355518975,0.0005017875429232671,0.5391162193527853,-0.005060255894635676,-45.04887319892259,616.3057666680882,0.8744159178392429,0.9196562720770148,0.004149874579942386,0.009000165520295332,0.4610886956005907,0.005060255894635676
2020-11-02,9.180791123600371e-05,0.00039214935025683835,0.5391162193527853,0.0008555336102492671,-33.647842464640235,672.5539891856041,0.8596371234268481,0.9179168640584431,0.00397000546357129,0.008898376717822492,0.44614940336475034,0.0008555336102492671
2020-11-03,0.0006575839505827806,0.0003543063121700299,0.5391162193527853,0.005826566699214631,-11.795304731833312,720.2622092608374,0.8471085177294139,0.9148622235656433,0.003982987433124695,0.008705242902529586,0.4575389196741783,0.005826566699214631
2020-11-04,0.000451706536437617,0.0008335320557458446,0.5391162193527853,0.003549693108886954,-2.6152701231458195,768.0415701254371,0.8347243889883481,0.9183240905769393,0.004141349109832086,0.008524133790103222,0.4858381170225552,0.003549693108886954
2020-11-05,0.0017163831819580152,0.0012724672647829594,0.5391162193527853,0.012673685258052188,4.124019915273493,798.8851486740059,0.8267975484014145,0.9216176059500243,0.0042543751991104516,0.008488311734732933,0.501203929834736,0.012673685258052188
2020-11-06,0.0021455743092185994,0.0018777558081273856,0.5391162193527853,0.015927359958463727,10.252184928555835,823.9443675423882,0.8203580223288408,0.9222962515632546,0.0041755558753404694,0.008353252626480276,0.4998718537619376,0.015927359958463727
2020-11-09,0.0025036346983752225,0.0025671591119351238,0.5391162193527853,0.018731803199135116,9.004574365023018,845.0429875398994,0.8149516540534967,0.921570774614104,0.004099987512093747,0.008234325775712726,0.49791417339677346,0.018731803199135116
2020-11-10,0.004053460381866247,0.0026428977023851617,0.5391162193527853,0.034910014129242675,30.01133679700888,873.419946482043,0.8076706627818327,0.9228186508069368,0.004200069765747914,0.009050232768674933,0.46408417033044513,0.034910014129242675
2020-11-11,0.0024023281308442274,0.0024753173222878846,0.5391162193527853,0.02384834197956996,17.463164751327895,876.9163931273426,0.806894742178655,0.9193856480185649,0.004053261467476425,0.009376888479985438,0.43226081616817086,0.02384834197956996
2020-11-12,0.0019355372098454537,0.001730807824881328,0.5391162193527853,0.01989277300956723,26.68889813752594,888.3326273176071,0.8040210179777948,0.9168980214100212,0.003901877950107112,0.009184632433438398,0.4248267939282562,0.01989277300956723
2020-11-13,0.0015295731856580204,0.001187157013434329,0.5391162193527853,0.016799525090368386,-10.362603668334941,901.8840577033116,0.8006243188828774,0.9128060682302658,0.003727440358764875,0.00907016679819907,0.41095609834925834,0.016799525090368386
2020-11-16,0.0005593518800389012,0.0007375673004277189,0.5391162193527853,-0.004725613803490513,-21.598058952260544,930.9266939517661,0.7930643734368419,0.9087004230484451,0.004379812892256877,0.009347238383415599,0.4685675824880844,0.004725613803490513
2020-11-17,0.00041142808275304533,0.00047951909723237046,0.5391162193527853,-0.003804321558121308,-22.23647634295594,986.7279901413447,0.7785611858380486,0.9072971183887286,0.004159500316057221,0.009286969168227096,0.4478856600803467,0.003804321558121308
2020-11-18,0.0006547897768257894,0.0005216149225612678,0.5391162193527853,0.007054397472343371,-14.683656612843151,1042.0296183770226,0.764184343522565,0.9064160585976905,0.004033578581797852,0.009720995430614802,0.4149347266530656,0.007054397472343371
2020-11-19,0.0007020567279038632,0.0008063266764809397,0.5391162193527853,0.007974706172506412,-6.902422333447248,1065.333446102149,0.7581091162901663,0.9055125984734221,0.0038229058625164365,0.009460324755056183,0.4040987980326192,0.007974706172506412
