模型,方差降低率,套保收益率,夏普比率
Basic GARCH,0.8424166666666668,0.22333333333333324,0.022516666666666667
DCC-GARCH,0.8502619617424597,-0.0026251951444152158,0.008482896627774681
ECM-DCC-GARCH,0.2245145176822749,-0.02258390948670967,-0.019351043696668718
